"cardId","contentType","timesOffered","timesLegal","timesSelected","selectionRateWhenLegal","winRateWhenSelected","averageScoreDifferentialWhenSelected","averageSelectionTurn","policyDistribution","laneA","laneB","laneC"
"PERK_ECO_RIVER_GROWTH","PERK","21840","17970","7396","0.4115748469671675","0.3561384532179557","0.405895078420768","13.43347755543537","{""RANDOM_LEGAL"":1308,""ECONOMY_FIRST"":938,""MILITARY_FIRST"":1288,""INSIGHT_FIRST"":1852,""BOARD_CONTROL"":1278,""ADAPTIVE"":732}","0","0","0"
"PERK_ECO_BALANCED","PERK","14112","12074","5226","0.43283087626304456","0.33983926521239954","0.22081898201301187","15.737849215461155","{""RANDOM_LEGAL"":726,""ECONOMY_FIRST"":654,""MILITARY_FIRST"":878,""INSIGHT_FIRST"":1606,""BOARD_CONTROL"":912,""ADAPTIVE"":450}","0","0","0"
"PERK_MIL_SWORD","PERK","22092","17804","7738","0.434621433385756","0.36934608425949855","0.8767123287671232","12.428792969759629","{""RANDOM_LEGAL"":1300,""ECONOMY_FIRST"":908,""MILITARY_FIRST"":1606,""INSIGHT_FIRST"":1826,""BOARD_CONTROL"":1620,""ADAPTIVE"":478}","0","0","0"
"PERK_MIL_SPEAR","PERK","18816","15518","7332","0.4724835674700348","0.3597926895799236","0.3641571194762684","13.306055646481179","{""RANDOM_LEGAL"":1146,""ECONOMY_FIRST"":866,""MILITARY_FIRST"":1506,""INSIGHT_FIRST"":1674,""BOARD_CONTROL"":1482,""ADAPTIVE"":658}","0","0","0"
"PERK_MIL_HORSE","PERK","20328","16456","7544","0.4584346135148274","0.3616118769883351","0.644220572640509","11.919671261930011","{""RANDOM_LEGAL"":1086,""ECONOMY_FIRST"":940,""MILITARY_FIRST"":1704,""INSIGHT_FIRST"":1662,""BOARD_CONTROL"":1622,""ADAPTIVE"":530}","0","0","0"
"PERK_MIL_REACH","PERK","15456","13300","6208","0.4667669172932331","0.35631443298969073","0.47519329896907214","15.360180412371134","{""RANDOM_LEGAL"":870,""ECONOMY_FIRST"":860,""MILITARY_FIRST"":1312,""INSIGHT_FIRST"":1448,""BOARD_CONTROL"":1266,""ADAPTIVE"":452}","0","0","0"
"PERK_MIL_HIGHLAND","PERK","14028","11880","5412","0.45555555555555555","0.35846267553584626","0.44974131559497416","16.565040650406505","{""RANDOM_LEGAL"":790,""ECONOMY_FIRST"":700,""MILITARY_FIRST"":1118,""INSIGHT_FIRST"":1318,""BOARD_CONTROL"":1100,""ADAPTIVE"":386}","0","0","0"
"PERK_MIL_FORMATION","PERK","11004","10104","4928","0.48772763262074426","0.3737824675324675","0.7130681818181818","18.96793831168831","{""RANDOM_LEGAL"":766,""ECONOMY_FIRST"":588,""MILITARY_FIRST"":1058,""INSIGHT_FIRST"":1118,""BOARD_CONTROL"":1028,""ADAPTIVE"":370}","0","0","0"
"PERK_TEMPO_COAST_POWER","PERK","18900","16080","6030","0.375","0.3635157545605307","0.5097844112769486","11.201658374792704","{""RANDOM_LEGAL"":1068,""ECONOMY_FIRST"":820,""MILITARY_FIRST"":1108,""INSIGHT_FIRST"":1476,""BOARD_CONTROL"":1078,""ADAPTIVE"":480}","0","0","0"
"PERK_TEMPO_CONTEST_GROWTH","PERK","18312","15728","6260","0.39801627670396744","0.35303514376996803","0.2562300319488818","13.323003194888178","{""RANDOM_LEGAL"":1034,""ECONOMY_FIRST"":712,""MILITARY_FIRST"":1028,""INSIGHT_FIRST"":1702,""BOARD_CONTROL"":1080,""ADAPTIVE"":704}","0","0","0"
"PERK_TEMPO_CONTEST_INSIGHT","PERK","21504","17518","7308","0.4171709099212239","0.33880678708264916","-0.03557744937055282","12.374657909140668","{""RANDOM_LEGAL"":1208,""ECONOMY_FIRST"":1036,""MILITARY_FIRST"":1216,""INSIGHT_FIRST"":2140,""BOARD_CONTROL"":1152,""ADAPTIVE"":556}","0","0","0"
